Jurisidction Name,Key Law Original Title,Key Law English Translated Title ,Key Law Corpus Identifier,In Effect/Repealed/NYIF (Not Yet In Force),Originally Passed ,Currently Applicable,"Sector: Public, Private, or Both (From Tables) ",First Privacy Law,This Law Promulgated,Last: Latest Revision,International Agreements (From Tables),Member (From Tables),Original Language,Document Source: Original ,Government Website? ,Document Source: English ,Translation Type ,Starting Source,Plain Text File Directory File Path ,Date of Retrieval of Original,Date of Retrieval of English Translation,Comments/Notes,
European Union,Directive 2006/24/EC (Data Retention Directive),[Not Applicable],Directive 2006_24_EC (Data Retention Directive).txt,Repealed,European Union,European Union,[Not Applicable],2006,2006,2006,[Not Applicable],[Not Applicable],English,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32006L0024&from=EN,Y,[Not Applicable],[Not Applicable],https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=celex%3A32006L0024,gpi-corpus/laws/plain text files/english text files/original english text files,5/30/21,5/30/21,Amends Directive 2002/58/EC,
European Union + United States,EU-US Privacy Shield Framework,[Not Applicable],EU-US Privacy Shield Framework.txt,Repealed,European Union + United States,European Union + United States,[Not Applicable],2016,2016,2020,[Not Applicable],[Not Applicable],English,https://www.privacyshield.gov/servlet/servlet.FileDownload?file=015t00000004qAg,Y,[Not Applicable],[Not Applicable],[Not Applicable],gpi-corpus/laws/plain text files/english text files/original english text files,6/25/21,6/25/21,[Not Applicable],
European Union,Directive (EU) 2018/1972 of the European Parliament and of the Council of 11 December 2018 establishing the European Electronic Communications Code,[Not Applicable],Directive (EU) 2018_1972 of the European Parliament and of the Council.txt,In Effect,European Union,European Union,[Not Applicable],2018,2018,2018,[Not Applicable],[Not Applicable],English,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32018L1972&from=EN,Y,[Not Applicable],[Not Applicable],https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A32018L1972,gpi-corpus/laws/plain text files/english text files/original english text files,5/30/21,5/30/21,[Not Applicable],
Switzerland + United States,Swiss_US Privacy Shield Framework,[Not Applicable],Swiss_US Privacy Shield Framework.txt,In Effect,Switzerland + United States,Switzerland + United States,[Not Applicable],2017,2017,[None],[Not Applicable],[Not Applicable],English,https://www.privacyshield.gov/servlet/servlet.FileDownload?file=015t000000079Gr,Y,[Not Applicable],[Not Applicable],[Not Applicable],gpi-corpus/laws/plain text files/english text files/original english text files,6/25/21,6/25/21,[Not Applicable],
European Union,Data Protection Directive with respect to Law Enforcement (Directive (EU) 2016/680),[Not Applicable],Data Protection Directive with respect to Law Enforcement (Directive (EU) 2016_680).txt,In Effect,European Union,European Union,[Not Applicable],2016,2016,2018,[Not Applicable],[Not Applicable],English,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32016L0680&from=EN,Y,[Not Applicable],[Not Applicable],https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=celex%3A32016L0680,gpi-corpus/laws/plain text files/english text files/original english text files,5/30/21,5/30/21,[Not Applicable],
United States + 23 others,American Convention on Human Rights,[Not Applicable],American Convention on Human Rights.txt,In Effect,United States + 23 others,United States + 23 others,[Not Applicable],1978,1969,[None],[Not Applicable],[Not Applicable],English,https://www.oas.org/dil/treaties_b-32_american_convention_on_human_rights.pdf,N,[Not Applicable],[Not Applicable],[Not Applicable],gpi-corpus/laws/plain text files/english text files/original english text files,6/26/21,6/26/21,[Not Applicable],
United Nations,UN International Convention on Civil & Political Rights,[Not Applicable],UN International Convention on Civil _ Political Rights.txt,In Effect,United Nations,United Nations,[Not Applicable],1976,1966,[None],[Not Applicable],[Not Applicable],English,https://www.ohchr.org/Documents/ProfessionalInterest/ccpr.pdf,N,[Not Applicable],[Not Applicable],[Not Applicable],gpi-corpus/laws/plain text files/english text files/original english text files,6/26/21,6/26/21,[Not Applicable],
European Union,Decision 154/2018 of the EEA Joint Committee of 6 July 2018,[Not Applicable],Decision 154_2018 of the EEA Joint Committee of 6 July 2018.txt,NYIF,European Union,European Union,[Not Applicable],NYIF,NYIF,[Not Applicable],[Not Applicable],[Not Applicable],English,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:22018D1022&from=EN,Y,[Not Applicable],[Not Applicable],https://eur-lex.europa.eu/eli/dec/2018/1022/oj,gpi-corpus/laws/plain text files/english text files/original english text files,5/30/21,5/30/21,[Not Applicable],
European Union,Regulation (EU) 2018/1725 of the European Parliament and of the Council of 23 October 2018,[Not Applicable],Regulation (EU) 2018_1725 of the European Parliament and of the Council of 23 October 2018.txt,In Effect,European Union,European Union,[Not Applicable],2018,2018,[None],[Not Applicable],[Not Applicable],English,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32018R1725&from=EN,Y,[Not Applicable],[Not Applicable],https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A32018R1725,gpi-corpus/laws/plain text files/english text files/original english text files,5/30/21,5/30/21,[Not Applicable],
European Union,"Directive (EU) 2015/2366 on Payment Services in the Internal Market, Amending Directives 2002/65/EC, 2009/110/EC and 2013/36/EU and Regulation (EU) No 1093/2010, and Repealing Directive 2007/64/EC",[Not Applicable],"Directive (EU) 2015_2366 on Payment Services in the Internal Market, Amending Directives 2002_65_EC, 2009_110_EC and 2013_36_EU and Regulation (EU) No 1093_2010, and Repealing Directive 2007_64_EC.txt",In Effect,European Union,European Union,[Not Applicable],2015,2015,2015,[Not Applicable],[Not Applicable],English,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32015L2366&from=EN,Y,[Not Applicable],[Not Applicable],https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=celex%3A32015L2366,gpi-corpus/laws/plain text files/english text files/original english text files,5/30/21,5/30/21,[Not Applicable],
Abu Dhabi Global Market,ADGM Data Protection Regulations (under Abu Dhabi Law 4/2013),[Not Applicable],Abu Dhabi Global Market (ADGM Data Protection Regs (under Abu Dhabi Law 4_2013)).txt,In Effect,Abu Dhabi Global Market,Abu Dhabi Global Market,Private,2015,2015,2015,Not-UN,[Not Applicable],Arabic/English,[None],N,https://en.adgm.thomsonreuters.com/rulebook/data-protection-regulations-2015-0,Official Translation,Greenleaf 2019,gpi-corpus/laws/plain text files/english text files/original english text files,5/30/21,5/30/21,[Not Applicable],
Abu Dhabi Global Market,Data Protection (Amendment) Regulation 2018,[Not Applicable],Abu Dhabi (Data Protection (Amendment) Regulation 2018).txt,In Effect,Abu Dhabi Global Market,Abu Dhabi Global Market,[Not Applicable],2015,2018,2018,Not-UN,[Not Applicable],English,[None],N,https://en.adgm.thomsonreuters.com/sites/default/files/net_file_store/Annex_B_Data_Protection_Amendment_Regulations_2018_FINAL_February_01_2018.pdf,[Not Applicable],https://www.dlapiperdataprotection.com/index.html?t=law&c=AE4,gpi-corpus/laws/plain text files/english text files/original english text files,6/26/21,6/26/21,[Not Applicable],
Afghanistan,Professional Accountants Law,[Not Applicable],Afghanistan (Professional Accountants Law).txt,In Effect,Afghanistan,Afghanistan,[Not Applicable],2003,2003,2003,[Not Applicable],[Not Applicable],Arabic/English,[None],N,[None],[None],[None],gpi-corpus/laws/plain text files/english text files/english translated text files,6/26/21,6/26/21,[Not Applicable],
Albania,Ligji p√´r mbrojtjen e t√´ dh√´nave personale,Law on the Protection of Personal Data No. 9887 of 10 March 2008,Albania (Law on the Protection of Personal Data No. 9887 of 10 March 2008).txt,In Effect,Albania,Albania,Both,1999,2008,2014,ICCPR+OP; CoE108(RP),CoE,Tosk Albanian/English,[None],Y,https://www.idp.al/wp-content/uploads/2016/11/law_data_protection_new-2.pdf,Official Translation,Greenleaf 2019,gpi-corpus/laws/plain text files/english text files/original english text files,5/30/21,5/30/21,Incorporates provisions of GDPR,
Albania,KOMISIONERI P√ãR T√ã DREJT√ãN E INFORMIMIT DHE MBROJTJEN E T√ã DH√ãNAVE PERSONALE,"Decision No. 8 of 31 October 2016, on the Countries with Adequate Level of Protection for Personal Data",Albania (KOMISIONERI PËR TË DREJTËN E INFORMIMIT DHE MBROJTJEN E TË DHËNAVE PERSONALE).txt,In Effect,Albania,Albania,[Not Applicable],2016,2016,[None],ICCPR+OP; CoE108(RP),CoE,Tosk Albanian,https://www.idp.al/wp-content/uploads/2017/02/vendim_nr_8.pdf,Y,[None],Non-Government Machine,https://www.dataguidance.com/notes/albania-data-protection-overview,gpi-corpus/laws/plain text files/english text files/english translated text files,6/26/21,6/26/21,[Not Applicable],
Albania,"Decision No. 4 of 27 December 2012, on Exceptions to the Obligation to Notify the Processing of Personal Data",[Not Applicable],"Albania (Decision No. 4 of 27 December 2012, on Exceptions to the Obligation to Notify the Processing of Personal Data).txt",In Effect,Albania,Albania,[Not Applicable],2012,2012,[None],ICCPR+OP; CoE108(RP),CoE,Tosk Albanian/English,[None],Y,https://www.idp.al/wp-content/uploads/2016/11/decision_no_4.pdf,Official Translation ,https://www.dataguidance.com/notes/albania-data-protection-overview,gpi-corpus/laws/plain text files/english text files/original english text files,6/26/21,6/26/21,[Not Applicable],
Albania,"Decision No. 2 of 10 March 2010, on Determining the Procedures for the Administration of Registration Data, Entering the Data, their Processing and Retrieval, as amended by Decision No. 5 of 27 December 2012",[Not Applicable],"Albania (Decision No. 2 of 10 March 2010, on Determining the Procedures for the Administration of Registration Data, Entering the Data, their Processing and Retrieval, as amended by Decision No. 5 of 27 December 2012).pdf.txt",In Effect,Albania,Albania,[Not Applicable],2010,2010,2012,ICCPR+OP; CoE108(RP),CoE,Tosk Albanian/English,[None],Y,https://www.idp.al/wp-content/uploads/2016/11/decision_no_2.pdf,Official Translation ,https://www.dataguidance.com/notes/albania-data-protection-overview,gpi-corpus/laws/plain text files/english text files/original english text files,6/27/21,6/27/21,[Not Applicable],
Algeria,"CONVENTIONS ET ACCORDS INTERNATIONAUX - LOIS ET DECRETS ARRETES, DECISIONS, AVIS, COMMUNICATIONS ET ANNONCES",Law 18-07 on the protection of individuals in the processing of personal data,Algeria (CONVENTIONS ET ACCORDS INTERNATIONAUX).txt,In Effect,Algeria,Algeria,Both,2018,2018,2018,ICCPR + OP,AU,French,https://www.dataguidance.com/jurisdiction/algeria,N,[None],Non-Government Machine,Greenleaf 2019,gpi-corpus/laws/plain text files/english text files/english translated text files,3/27/21,3/27/21,[Not Applicable],
Algeria,Loi n¬∞ 18-05 du 24 Cha√¢bane 1439 correspondant au 10 mai 2018 relative au commerce √©lectronique,"Law n ¬∞ 18-05 of 24 Cha√¢bane 1439 corresponding to May 10, 2018 relating to electronic commerce",Algeria (Loi n° 18-05 du 24 Chaâbane).txt,In Effect,Algeria,Algeria,[Not Applicable],2018,2018,2018,ICCPR + OP,AU,French,https://www.commerce.gov.dz/reglementation/loi-n-deg-18-05,Y,[None],Non-Government Machine,https://www.dataguidance.com/jurisdiction/algeria,gpi-corpus/laws/plain text files/english text files/english translated text files,3/27/21,3/27/21,[Not Applicable],
Andorra,Law on the protection of personal data,[Not Applicable],Andorra (Law on the protection of personal data).txt,In Effect,Andorra,Andorra,Both,2003,2003,2003,ICCPR+OP; GDPR(Adq); CoE108(RP) CoE108+(S),CoE,English,[None],N,https://www.apda.ad/sites/default/files/2018-10/llei_qualificada_de_proteccio_de_dades_personals_-_en.pdf,[Not Applicable],Greenleaf 2019,gpi-corpus/laws/plain text files/english text files/original english text files,5/30/21,5/30/21,[Not Applicable],
Angola,Lei da Protec√ß√£o de Dados Pessoais,Personal Data Protection Act,Angola (Lei da Protecção de Dados Pessoais).txt,In Effect,Angola,Angola,Both,2011,2011,2011,ICCPR+OP,AU; SADC; ECCAS,Portuguese,https://www.dataguidance.com/sites/default/files/lei_de_proteccao_de_dados_pessoais_v.pdf,N,[None],Non-Government Machine,Greenleaf 2019,gpi-corpus/laws/plain text files/english text files/english translated text files,5/30/21,5/30/21,[Not Applicable],
Angola,Law No. 23/11 of 20 June 2011 on Electronic communications and Information Society Services,[Not Applicable],Angola (Law No. 23_11 of 20 June 2011 on Electronic communications and Information Society Services).txt,In Effect,Angola,Angola,[Not Applicable],2011,2011,[None],ICCPR+OP,AU; SADC; ECCAS,Portuguese/English,[None],N,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&ved=2ahUKEwju1Iq7vqjxAhV-EVkFHYLQBz8QFjABegQIAxAE&url=https%3A%2F%2Fwww.dlapiperdataprotection.com%2Fsystem%2Fmodules%2Fza.co.heliosdesign.dla.lotw.data_protection%2Ffunctions%2Fhandbook.pdf%3Fcountry-1%3DAO&usg=AOvVaw3VtEYuCeAc1XnhzLL26CVN,Official Translation ,[None],gpi-corpus/laws/plain text files/english text files/original english text files,6/27/21,6/27/21,[Not Applicable],
Angola,Decreto Presidencial n.¬∫ 214/16 de 10 de Outubro,"Presidential Decree 214/16, of 10 October 2016","Angola (Presidential Decree 214_16, of 10 October 2016)-2.txt",In Effect,Angola,Angola,[Not Applicable],2016,2016,[None],ICCPR+OP,AU; SADC; ECCAS,Portuguese,https://www.minfin.gov.ao/cs/groups/public/documents/document/mjew/mjqu/~edisp/-1282029698131016021024.pdf~1.pdf,Y,[None],Non-Government Machine,[None],gpi-corpus/laws/plain text files/english text files/english translated text files,5/30/21,5/30/21,[Not Applicable],
Angola,Law No. 7/17 of 16 February 2017 on the Protection of Information Systems and Networks,[Not Applicable],Angola (Law No. 7_17 of 16 February 2017 on the Protection of Information Systems and Networks).txt,In Effect,Angola,Angola,[Not Applicable],2017,2017,2021,ICCPR+OP,AU; SADC; ECCAS,Portuguese/English,[None],N,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&ved=2ahUKEwju1Iq7vqjxAhV-EVkFHYLQBz8QFjABegQIAxAE&url=https%3A%2F%2Fwww.dlapiperdataprotection.com%2Fsystem%2Fmodules%2Fza.co.heliosdesign.dla.lotw.data_protection%2Ffunctions%2Fhandbook.pdf%3Fcountry-1%3DAO&usg=AOvVaw3VtEYuCeAc1XnhzLL26CVN,Official Translation ,[None],gpi-corpus/laws/plain text files/english text files/original english text files,6/27/21,6/27/21,[Not Applicable],
Antigua & Barbuda,"Money Laundering (Prevention) Act, 1996",[Not Applicable],"Antigua _ Barbuda (Money Laundering (Prevention) Act, 1996).txt",In Effect,Antigua & Barbuda,Antigua & Barbuda,[Not Applicable],1996,1996,[None],ICCPR+OP,CARICOM; OECS,English,http://ondcp.gov.ag/wp-content/uploads/2014/05/MLPA-Consol-only-23Jun09.pdf,Y,[Not Applicable],[Not Applicable],https://www.google.com/url?q=https://www.dataguidance.com/jurisdiction/antigua-and-barbuda&sa=D&source=editors&ust=1623169409144000&usg=AFQjCNGCqIFbwKxa1WN4ceXHV2tWOCL_yg,gpi-corpus/laws/plain text files/english text files/original english text files,6/27/21,6/27/21,[Not Applicable],
Antigua & Barbuda,"Freedom of Information Act, 2004",[Not Applicable],"Antigua _ Barbuda (Freedom of Information Act, 2004).txt",In Effect,Antigua & Barbuda,Antigua & Barbuda,[Not Applicable],2004,2004,[None],ICCPR+OP,CARICOM; OECS,English,https://www.dataguidance.com/sites/default/files/atg71749.pdf,N,[Not Applicable],[Not Applicable],https://www.google.com/url?q=https://www.dataguidance.com/jurisdiction/antigua-and-barbuda&sa=D&source=editors&ust=1623169409144000&usg=AFQjCNGCqIFbwKxa1WN4ceXHV2tWOCL_yg,gpi-corpus/laws/plain text files/english text files/original english text files,6/27/21,6/27/21,[Not Applicable],
Antigua & Barbuda,"Electronic Transactions Act, 2006",[Not Applicable],"Antigua _ Barbuda (Electronic Transactions Act, 2006).txt",In Effect,Antigua & Barbuda,Antigua & Barbuda,[Not Applicable],2006,2006,[None],ICCPR+OP,CARICOM; OECS,English,http://laws.gov.ag/wp-content/uploads/2020/02/No.-8-of-2006-The-Electronic-Transactions-Act-1.pdf,Y,[Not Applicable],[Not Applicable],https://www.google.com/url?q=https://www.dataguidance.com/jurisdiction/antigua-and-barbuda&sa=D&source=editors&ust=1623169409144000&usg=AFQjCNGCqIFbwKxa1WN4ceXHV2tWOCL_yg,gpi-corpus/laws/plain text files/english text files/original english text files,6/27/21,6/27/21,[Not Applicable],
Antigua & Barbuda,Data Protection Act 2013,[Not Applicable],Antigua _ Barbuda (Data Protection Act 2013).txt,In Effect,Antigua & Barbuda,Antigua & Barbuda,Both,2013,2013,2013 NYIF,ICCPR+OP,CARICOM; OECS,English,"http://www.ilo.org/dyn/natlex/natlex4.detail?p_lang=en&p_isn=102704&p_country=ATG&p_count=221#:~:text=Antigua%20and%20Barbuda%20(221)%20%3E&text=Name%3A-,Data%20Protection%20Act%2C%202013%20(No.,10%20of%202013).&text=Abstract%2FCitation%3A,for%20incidental%20and%20connected%20purposes.",N,[Not Applicable],[Not Applicable],Greenleaf 2019,gpi-corpus/laws/plain text files/english text files/original english text files,5/30/21,5/30/21,[Not Applicable],
Antigua & Barbuda,"Banking Act, 2015",[Not Applicable],"Antigua _ Barbuda (Banking Act, 2015).txt",In Effect,Antigua & Barbuda,Antigua & Barbuda,[Not Applicable],2015,2015,[None],ICCPR+OP,CARICOM; OECS,English,http://laws.gov.ag/wp-content/uploads/2019/02/a2015-10.pdf,Y,[Not Applicable],[Not Applicable],https://www.google.com/url?q=https://www.dataguidance.com/jurisdiction/antigua-and-barbuda&sa=D&source=editors&ust=1623169409144000&usg=AFQjCNGCqIFbwKxa1WN4ceXHV2tWOCL_yg,gpi-corpus/laws/plain text files/english text files/original english text files,6/27/21,6/27/21,[Not Applicable],
Argentina,Ley de Protecci√≥n de Datos Personales,Personal Data Protection Act,Argentina (Ley de Protección de Datos Personales).txt,In Effect,Argentina,Argentina,Both,2000,2000,2000,ICCPR+OP; EU(Adq); CoE108(AI),MERCOSUR,Spanish/English,http://servicios.infoleg.gob.ar/infolegInternet/anexos/60000-64999/64790/norma.htm,Y,http://www.jus.gob.ar/media/3201023/personal_data_protection_act25326.pdf,Official Translation ,Greenleaf 2019,gpi-corpus/laws/plain text files/english text files/original english text files,6/27/21,6/27/21,Amends National Criminal Code,
Argentina,Decreto 1558/2001,Decree No. 1558/2001 Regulating Law No. 25.326,Argentina (Decreto 1558_2001).txt,In Effect,Argentina,Argentina,[Not Applicable],2000,2001,[None],ICCPR+OP; EU(Adq); CoE108(AI),MERCOSUR,Spanish,http://servicios.infoleg.gob.ar/infolegInternet/anexos/70000-74999/70368/norma.htm,Y,[None],Non-Government Machine,https://www.dataguidance.com/notes/argentina-data-protection-overview,gpi-corpus/laws/plain text files/english text files/english translated text files,5/30/21,5/30/21,[Not Applicable],
Argentina,Decreto 1160/2010,Decree No. 1160/10,Argentina (Decreto 1160_2010).txt,In Effect,Argentina,Argentina,[Not Applicable],2000,2000,[None],ICCPR+OP; EU(Adq); CoE108(AI),MERCOSUR,Spanish,http://servicios.infoleg.gob.ar/infolegInternet/anexos/170000-174999/170508/norma.htm,Y,[None],Non-Government Machine,https://www.dataguidance.com/notes/argentina-data-protection-overview,gpi-corpus/laws/plain text files/english text files/english translated text files,5/30/21,5/30/21,Amends Decree No. 1558/2001 Regulating Law No. 25.326,
Argentina,CODIGO PENAL DE LA NACION ARGENTINA LEY 11.179,National Criminal Code,Argentina (CODIGO PENAL DE LA NACION ARGENTINA LEY 11.179).txt,In Effect,Argentina,Argentina,[Not Applicable],2000,2000,[None],ICCPR+OP; EU(Adq); CoE108(AI),MERCOSUR,Spanish,http://servicios.infoleg.gob.ar/infolegInternet/anexos/15000-19999/16546/texact.htm,Y,[None],Non-Government Machine,https://www.dataguidance.com/notes/argentina-data-protection-overview,gpi-corpus/laws/plain text files/english text files/english translated text files,5/30/21,5/30/21,[Not Applicable],
Argentina,CODIGO PENAL Ley 26.683 Modificaci√≥n,Law No. 26.388 of 2008,Argentina (CODIGO PENAL Ley 26.683 Modificación.).txt,In Effect,Argentina,Argentina,[Not Applicable],2000,2008,[None],ICCPR+OP; EU(Adq); CoE108(AI),MERCOSUR,Spanish,http://servicios.infoleg.gob.ar/infolegInternet/anexos/180000-184999/183497/norma.htm,Y,[None],Non-Government Machine,https://www.dataguidance.com/notes/argentina-data-protection-overview,gpi-corpus/laws/plain text files/english text files/english translated text files,5/30/21,5/30/21,Amends National Criminal Code,
Argentina,C√≥digo Civil y Comercial de la Naci√≥n,National Civil and Commercial Code,Argentina (Código Civil y Comercial de la Nación).txt,In Effect,Argentina,Argentina,[Not Applicable],2000,2000,[None],ICCPR+OP; EU(Adq); CoE108(AI),MERCOSUR,Spanish,http://servicios.infoleg.gob.ar/infolegInternet/anexos/235000-239999/235975/norma.htm,Y,[None],Non-Government Machine,https://www.dataguidance.com/notes/argentina-data-protection-overview,gpi-corpus/laws/plain text files/english text files/english translated text files,5/30/21,5/30/21,Articles 52 and 1770,
